,,Date,yes_d,yes_r,no_d,no_r,polarity
113,164,2013-05-21,195,220,0,0,-0.060240963855421686
113,165,2013-05-21,194,219,0,0,-0.06053268765133172
113,166,2013-05-22,1,222,194,0,-0.9952038369304557
113,167,2013-05-22,9,219,185,0,-0.9564164648910412
113,168,2013-05-22,25,221,168,0,-0.8792270531400966
113,169,2013-05-22,146,0,47,222,0.7734939759036145
113,170,2013-05-22,174,3,20,219,0.8894230769230769
113,171,2013-05-22,176,0,17,222,0.9180722891566265
113,172,2013-05-22,177,0,17,221,0.9180722891566265
113,173,2013-05-22,182,0,12,222,0.9423076923076923
113,174,2013-05-22,182,0,12,222,0.9423076923076923
113,175,2013-05-22,183,2,11,220,0.9375
113,176,2013-05-22,159,3,36,219,0.8129496402877698
113,177,2013-05-22,194,0,0,223,1.0
113,178,2013-05-22,19,222,176,0,-0.9088729016786571
113,179,2013-05-23,0,224,195,0,-1.0
113,180,2013-05-23,0,224,193,0,-1.0
113,181,2013-05-23,194,0,1,222,0.9952038369304557
113,182,2013-05-23,4,217,191,8,-0.9428571428571428
113,183,2013-06-03,179,222,0,0,-0.10723192019950124
113,184,2013-06-03,168,222,12,0,-0.16417910447761194
113,185,2013-06-04,0,229,193,0,-1.0
113,186,2013-06-04,0,227,193,1,-0.995249406175772
113,187,2013-06-04,12,139,180,89,-0.5190476190476191
113,188,2013-06-04,67,181,125,47,-0.45714285714285713
113,189,2013-06-04,170,1,25,229,0.8776470588235294
113,190,2013-06-04,0,192,195,36,-0.8297872340425532
113,191,2013-06-04,196,2,0,227,0.9905882352941177
113,192,2013-06-04,192,229,5,0,-0.09859154929577464
113,193,2013-06-05,167,0,27,230,0.8726415094339622
113,194,2013-06-05,180,1,16,229,0.92018779342723
113,195,2013-06-05,100,56,95,173,0.28773584905660377
113,196,2013-06-05,181,6,13,223,0.9101654846335697
113,197,2013-06-05,182,8,11,221,0.909952606635071
113,198,2013-06-05,69,11,127,218,0.35058823529411764
113,199,2013-06-05,164,1,33,228,0.8403755868544601
113,200,2013-06-05,19,161,179,68,-0.5925058548009368
113,201,2013-06-05,21,29,174,199,0.04018912529550828
113,202,2013-06-05,187,94,11,135,0.5081967213114754
113,203,2013-06-05,18,216,179,13,-0.8544600938967136
113,204,2013-06-05,113,33,84,196,0.4507042253521127
113,205,2013-06-05,112,36,85,193,0.431924882629108
113,206,2013-06-06,196,91,0,136,0.5697399527186762
113,207,2013-06-06,3,221,196,6,-0.9577464788732394
113,208,2013-06-06,7,189,189,36,-0.7957244655581948
