,Time,Polarity
155,2016-02-11,0.12285050852836536
156,2016-02-12,0.08863407579413989
157,2016-02-23,0.1510685765088516
158,2016-02-24,0.11475772480528497
159,2016-02-25,0.09903262516268449
160,2016-02-26,0.12120298703712362
161,2016-02-29,0.139219612126556
162,2016-03-01,0.11247812598508361
163,2016-03-02,0.11614068964804229
164,2016-03-03,0.07973294397316519
165,2016-03-10,0.020672864305957835
166,2016-03-14,0.10227013342847203
167,2016-03-15,0.10187644729279415
168,2016-03-16,0.12020037172593245
169,2016-03-17,0.0928652650400754
170,2016-03-21,0.1301143996409837
171,2016-03-22,0.15117362286200708
172,2016-03-23,0.12388471853572235
173,2016-04-12,0.083518913452681
174,2016-04-13,0.11000095798724167
175,2016-04-14,0.09708145624260077
176,2016-04-15,0.1299800052538682
